Product Name,Manufacturer,Page Number
Lead-Free Bronze Ball Valves,NIBCO,3
Circuit Setter Plus,Bell & Gossett,4
True Union 2000 Industrial Ball Valves,Spears,6
True Union 2000 Industrial 3-Way Ball Valves,Spears,8
"Tee-Style ""Zero Dead-Leg"" Ball Valves",Spears,10
True Union 2000 Standard Ball Valves,Spears,11
True Union 2000 Industrial Retrofit Ball Valves,Spears,12
True Union 2000 Standard Retrofit Ball Valves - Replaces Other Brand Valves,Spears,14
True Union Ball Valves (Regular Style) & Compact 2000 Ball Valves,Spears,15
CPVC 2000 Compact Ball Valve,Spears,16
Utility Ball Valves & Lab Ball Valves,Spears,17
